full_name,age,birthday,birthday_GMT,league,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Albert Danquah Adomah,34,566352000,12/13/1987,Premier League,2016/2017,Midfielder,Middlesbrough,121,90,31,Ghana,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.49,61,61,0,0,0,-1,-1,-1,24
Alberto Moreno,29,710294400,7/5/1992,Premier League,2016/2017,Defender,Liverpool,295,27,268,Spain,12,5,7,0,0,0,1,0,1,0,0,3,2,1,7,0,7,1,0,0.31,0.31,0,0,0,0,2.14,42,25,295,295,0.31,384,18,164,21
Aleix García,24,867456000,6/28/1997,Premier League,2016/2017,Midfielder,Manchester City,75,19,56,Spain,4,2,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1.2,75,19,0,0,0,-1,-1,-1,23
Aleksandar Kolarov,36,500428800,11/10/1985,Premier League,2016/2017,Defender,Manchester City,2533,1291,1242,Serbia,29,15,14,1,0,1,1,0,1,0,0,9,4,5,25,11,14,6,0,0.07,0.04,0.04,0,0.07,2533,0.89,101,87,422,2533,0.21,239,227,31,15
Alex Baptiste,35,507513600,1/31/1986,Premier League,2016/2017,Defender,Middlesbrough,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Iwobi,25,831081600,5/3/1996,Premier League,2016/2017,Forward,Arsenal,1462,814,648,Nigeria,26,15,11,3,3,0,3,1,2,0,0,8,6,2,19,8,11,1,0,0.37,0.18,0.18,0.33,0,487,1.17,77,56,1462,487,0.06,101,72,-1,5
Alex McCarthy,32,628646400,12/3/1989,Premier League,2016/2017,Goalkeeper,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Oxlade-Chamberlain,28,745372800,8/15/1993,Premier League,2016/2017,Midfielder,Arsenal,1562,538,1024,England,29,12,17,2,1,1,7,4,3,0,0,9,5,4,21,4,17,1,0,0.52,0.4,0.12,0.17,0.09,781,1.21,74,54,1562,223,0.06,147,11,-1,6
Alex Palmer,25,839635200,8/10/1996,Premier League,2016/2017,Goalkeeper,West Bromwich Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Pike,24,855360000,2/8/1997,Premier League,2016/2017,Defender,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Manninger,44,234230400,6/4/1977,Premier League,2016/2017,Goalkeeper,Liverpool,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexis Sanchez,33,598492800,12/19/1988,Premier League,2016/2017,Forward,Arsenal,3223,1595,1628,Chile,38,19,19,24,9,15,10,5,5,2,1,13,9,4,39,14,25,6,0,0.95,0.28,0.67,0.51,0.83,134,1.09,83,85,537,322,0.17,7,24,-1,1
Alfie Mawson,27,758937600,1/19/1994,Premier League,2016/2017,Defender,Swansea City,2430,1260,1170,England,27,14,13,4,2,2,0,0,0,0,0,7,6,1,41,18,23,1,0,0.15,0,0.15,0.14,0.15,608,1.52,59,90,2430,0,0.04,123,264,117,4
Alfred John Momar N'Diaye,31,636681600,3/6/1990,Premier League,2016/2017,Midfielder,Hull City,1277,669,608,Senegal,15,8,7,1,1,0,0,0,0,0,0,3,2,1,26,12,14,7,0,0.07,0,0.07,0.13,0,1277,1.83,49,85,182,0,0.49,194,305,-1,9
Allan Nyom,33,579225600,5/10/1988,Premier League,2016/2017,Defender,West Bromwich Albion,2638,1293,1345,Cameroon,32,16,16,0,0,0,2,1,1,0,0,4,3,1,38,14,24,8,0,0.07,0.07,0,0,0,0,1.3,69,82,330,1319,0.27,313,191,76,15
Álvaro Arbeloa Coca,38,411609600,1/17/1983,Premier League,2016/2017,Defender,West Ham United,256,256,0,Spain,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,3,0,0,0,0,0,0,0,2.81,32,85,85,0,1.05,-1,-1,-1,24
Álvaro Negredo Sánchez,36,493344000,8/20/1985,Premier League,2016/2017,Forward,Middlesbrough,2880,1571,1309,Spain,36,19,17,9,6,3,4,1,3,2,0,11,7,4,42,20,22,5,0,0.41,0.13,0.28,0.34,0.21,320,1.31,69,80,576,720,0.16,60,109,-1,1
Ander Herrera,32,619056000,8/14/1989,Premier League,2016/2017,Midfielder,Manchester United,2465,1278,1187,Spain,31,16,15,1,1,0,6,3,3,0,0,14,6,8,18,8,10,7,1,0.26,0.22,0.04,0.07,0,2465,0.66,137,80,352,411,0.26,232,50,-1,8
Andre Ayew,32,629856000,12/17/1989,Premier League,2016/2017,Forward,West Ham United,1440,609,831,Ghana,25,11,14,6,1,5,3,2,1,0,0,6,5,1,23,11,12,1,0,0.56,0.19,0.38,0.15,0.54,240,1.44,63,58,1440,480,0.06,37,63,-1,5
Andre Gray,30,677894400,6/26/1991,Premier League,2016/2017,Forward,Burnley,2267,1035,1232,England,32,14,18,9,5,4,3,3,0,2,0,9,5,4,29,7,22,2,0,0.48,0.12,0.36,0.43,0.29,252,1.15,78,71,1134,756,0.08,41,130,-1,2
Andrea Ranocchia,33,571968000,2/16/1988,Premier League,2016/2017,Defender,Hull City,1330,720,610,Italy,16,8,8,2,1,1,2,1,1,0,0,4,2,2,25,12,13,2,0,0.27,0.14,0.14,0.13,0.15,665,1.69,53,83,665,665,0.14,129,103,143,7
Andrew Eleftheriou,24,878947200,11/8/1997,Premier League,2016/2017,Defender,Watford,51,51,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3.53,26,51,0,0,0,-1,-1,-1,18
Andrew Robertson,27,763344000,3/11/1994,Premier League,2016/2017,Defender,Hull City,2736,1367,1369,Scotland,33,17,16,1,1,0,2,2,0,0,0,5,2,3,50,21,29,5,0,0.1,0.07,0.03,0.07,0,2736,1.64,55,83,547,1368,0.16,252,190,137,10
Andrew Surman,35,524880000,8/20/1986,Premier League,2016/2017,Midfielder,AFC Bournemouth,1803,747,1056,England,22,9,13,0,0,0,1,1,0,0,0,5,3,2,34,11,23,3,1,0.05,0.05,0,0,0,0,1.7,53,82,601,1803,0.15,411,212,-1,25
Andros Townsend,30,679622400,7/16/1991,Premier League,2016/2017,Midfielder,Crystal Palace,2528,1229,1299,England,36,18,18,3,2,1,4,1,3,0,0,7,5,2,35,11,24,4,0,0.25,0.14,0.11,0.15,0.07,843,1.25,72,70,632,632,0.14,153,101,-1,7
Andy Carroll,33,600048000,1/6/1989,Premier League,2016/2017,Forward,West Ham United,1314,560,754,England,18,8,10,7,2,5,1,1,0,0,0,3,3,0,25,13,12,3,0,0.55,0.07,0.48,0.32,0.6,188,1.71,53,73,438,1314,0.21,22,180,-1,4
Andy King,33,594086400,10/29/1988,Premier League,2016/2017,Midfielder,Leicester City,1443,634,809,Wales,23,11,12,1,1,0,0,0,0,0,0,6,4,2,25,9,16,4,0,0.06,0,0.06,0.14,0,1443,1.56,58,63,361,0,0.25,211,351,-1,10
Angel Gomes,21,967680000,8/31/2000,Premier League,2016/2017,Midfielder,Manchester United,2,2,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,-1,30
Àngel Rangel Zaragoza,39,404611200,10/28/1982,Premier League,2016/2017,Defender,Swansea City,822,476,346,Spain,18,9,9,1,0,1,0,0,0,0,0,2,1,1,23,13,10,1,0,0.11,0,0.11,0,0.26,822,2.52,36,46,822,0,0.11,162,331,171,12
Angelo Ogbonna,33,580348800,5/23/1988,Premier League,2016/2017,Defender,West Ham United,1756,766,990,Italy,20,9,11,0,0,0,0,0,0,0,0,5,4,1,28,11,17,2,0,0,0,0,0,0,0,1.44,63,88,878,0,0.1,393,392,102,18
Angus Gunn,25,822268800,1/22/1996,Premier League,2016/2017,Goalkeeper,Manchester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anthony Martial,26,818121600,12/5/1995,Premier League,2016/2017,Forward,Manchester United,1559,816,743,France,25,13,12,4,3,1,6,1,5,0,0,10,5,5,12,5,7,2,0,0.58,0.35,0.23,0.33,0.12,390,0.69,130,62,780,260,0.12,79,14,-1,7
Antonio Barragán,34,550454400,6/12/1987,Premier League,2016/2017,Defender,Middlesbrough,2196,1183,1013,Spain,26,14,12,0,0,0,0,0,0,0,0,8,5,3,30,15,15,5,0,0,0,0,0,0,0,1.23,73,84,439,0,0.2,348,357,70,20
Antonio Valencia,36,491961600,8/4/1985,Premier League,2016/2017,Defender,Manchester United,2483,1431,1052,Ecuador,28,16,12,1,0,1,3,2,1,0,0,12,6,6,19,10,9,5,0,0.14,0.11,0.04,0,0.09,2483,0.69,131,89,497,828,0.18,234,133,15,10
Arouna Koné,38,437356800,11/11/1983,Premier League,2016/2017,Forward,Everton,72,64,8,Côte d'Ivoire,6,4,2,0,0,0,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,2.5,36,12,0,0,0,-1,-1,-1,21
Arthur Masuaku,28,752630400,11/7/1993,Premier League,2016/2017,Defender,West Ham United,972,467,505,France,13,6,7,0,0,0,1,0,1,0,0,4,3,1,22,9,13,1,0,0.09,0.09,0,0,0,0,2.04,44,75,972,972,0.09,390,154,160,19
Artur Boruc,41,319852800,2/20/1980,Premier League,2016/2017,Goalkeeper,AFC Bournemouth,3150,1710,1440,Poland,35,19,16,0,0,0,0,0,0,0,0,9,6,3,57,27,30,2,0,0,0,0,0,0,0,1.63,55,90,1575,0,0.06,422,422,135,12
Ashley Barnes,32,625708800,10/30/1989,Premier League,2016/2017,Forward,Burnley,1777,727,1050,England,28,13,15,6,2,4,2,2,0,2,0,8,4,4,25,8,17,8,1,0.41,0.1,0.3,0.25,0.34,296,1.27,71,63,222,889,0.41,54,141,-1,3
Ashley Fletcher,26,812592000,10/2/1995,Premier League,2016/2017,Forward,West Ham United,353,220,133,England,16,11,5,0,0,0,0,0,0,0,0,5,5,0,11,9,2,2,0,0,0,0,0,0,0,2.8,32,22,177,0,0.51,275,252,-1,20
Ashley Westwood,31,638928000,4/1/1990,Premier League,2016/2017,Midfielder,Burnley,550,258,292,England,9,3,6,0,0,0,0,0,0,0,0,1,0,1,8,5,3,3,0,0,0,0,0,0,0,1.31,69,61,183,0,0.49,265,293,-1,17
Ashley Williams,37,462067200,8/23/1984,Premier League,2016/2017,Defender,Everton,3159,1530,1629,Wales,36,17,19,1,1,0,3,1,2,0,0,13,8,5,34,11,23,8,1,0.11,0.09,0.03,0.06,0,3159,0.97,93,88,351,1053,0.26,255,157,40,14
Ashley Young,36,489715200,7/9/1985,Premier League,2016/2017,Midfielder,Manchester United,757,338,419,England,12,5,7,0,0,0,1,0,1,0,0,6,2,4,5,2,3,2,0,0.12,0.12,0,0,0,0,0.59,151,63,379,757,0.24,394,122,-1,24
Asmir Begović,34,551145600,6/20/1987,Premier League,2016/2017,Goalkeeper,Chelsea,180,90,90,Bosnia and Herzegovina,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,18
Axel Tuanzebe,24,879465600,11/14/1997,Premier League,2016/2017,Defender,Manchester United,305,90,215,England,4,1,3,0,0,0,0,0,0,0,0,2,1,1,4,0,4,0,0,0,0,0,0,0,0,1.18,76,76,0,0,0,262,251,61,20
Bacary Sagna,38,414028800,2/14/1983,Premier League,2016/2017,Defender,Manchester City,1344,429,915,France,17,6,11,0,0,0,1,0,1,0,0,7,2,5,13,2,11,2,0,0.07,0.07,0,0,0,0,0.87,103,79,672,1344,0.13,408,187,28,19
Baily Cargill,26,804902400,7/5/1995,Premier League,2016/2017,Defender,AFC Bournemouth,12,0,12,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,13
Bakary Sako,33,578016000,4/26/1988,Premier League,2016/2017,Midfielder,Crystal Palace,135,54,81,Mali,7,4,3,0,0,0,0,0,0,0,0,2,2,0,3,1,2,0,0,0,0,0,0,0,0,2,45,19,0,0,0,-1,-1,-1,18
Bartosz Kapustka,25,851299200,12/23/1996,Premier League,2016/2017,Midfielder,Leicester City,0,0,0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bastian Schweinsteiger,37,460166400,8/1/1984,Premier League,2016/2017,Midfielder,Manchester United,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Chilwell,25,851126400,12/21/1996,Premier League,2016/2017,Defender,Leicester City,694,453,241,England,12,7,5,1,1,0,0,0,0,0,0,2,2,0,16,10,6,2,0,0.13,0,0.13,0.2,0,694,2.07,43,58,347,0,0.26,139,354,162,16
Ben Davies,28,735609600,4/24/1993,Premier League,2016/2017,Defender,Tottenham Hotspur,1735,772,963,Wales,23,11,12,1,0,1,3,2,1,0,0,11,7,4,11,3,8,1,0,0.21,0.16,0.05,0,0.09,1735,0.57,158,75,1735,578,0.05,220,88,7,12
Ben Foster,38,418176000,4/3/1983,Premier League,2016/2017,Goalkeeper,West Bromwich Albion,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,6,4,2,50,21,29,2,0,0,0,0,0,0,0,1.32,68,90,1710,0,0.05,402,402,80,21
Ben Gibson,28,727056000,1/15/1993,Premier League,2016/2017,Defender,Middlesbrough,3420,1710,1710,England,38,19,19,1,1,0,1,0,1,0,0,11,7,4,50,21,29,4,0,0.05,0.03,0.03,0.05,0,3420,1.32,68,90,855,3420,0.11,253,230,79,8
Ben Hamer,34,564364800,11/20/1987,Premier League,2016/2017,Goalkeeper,Leicester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Hinchliffe,24,875145600,9/25/1997,Premier League,2016/2017,Forward,Hull City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ben Mee,32,622339200,9/21/1989,Premier League,2016/2017,Defender,Burnley,3016,1486,1530,England,34,17,17,1,0,1,0,0,0,0,0,9,6,3,44,13,31,5,0,0.03,0,0.03,0,0.06,3016,1.31,69,89,603,0,0.15,242,322,78,8
Ben Watson,36,489715200,7/9/1985,Premier League,2016/2017,Midfielder,Watford,65,9,56,England,4,1,3,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1.38,65,16,33,0,2.77,-1,-1,-1,27
Ben Wynter,24,881798400,12/11/1997,Premier League,2016/2017,Midfielder,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benik Afobe,28,729475200,2/12/1993,Premier League,2016/2017,Forward,AFC Bournemouth,1451,651,800,Congo DR,31,15,16,6,3,3,3,3,0,0,1,9,5,4,21,9,12,1,0,0.56,0.19,0.37,0.41,0.34,242,1.3,69,47,1451,484,0.06,40,66,-1,4
Benjamin Woodburn,22,939945600,10/15/1999,Premier League,2016/2017,Forward,Liverpool,83,30,53,Wales,5,2,3,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1.08,83,17,0,0,0,-1,-1,-1,23
Bernardo Espinosa,32,616118400,7/11/1989,Premier League,2016/2017,Defender,Middlesbrough,975,443,532,Colombia,11,5,6,0,0,0,0,0,0,0,0,4,2,2,11,5,6,2,0,0,0,0,0,0,0,1.02,89,89,488,0,0.18,276,296,45,15
Billy Jones,34,543542400,3/24/1987,Premier League,2016/2017,Defender,Sunderland,2271,957,1314,England,27,11,16,1,0,1,0,0,0,0,0,5,3,2,44,18,26,8,0,0.04,0,0.04,0,0.07,2271,1.74,52,84,284,0,0.32,230,278,149,5
Bojan,31,651801600,8/28/1990,Premier League,2016/2017,Forward,Stoke City,475,269,206,Spain,9,4,5,3,2,1,0,0,0,2,1,0,0,0,11,6,5,1,0,0.57,0,0.57,0.67,0.44,158,2.08,43,53,475,0,0.19,12,364,-1,6
Borja Bastón,29,714700800,8/25/1992,Premier League,2016/2017,Forward,Swansea City,548,355,193,Spain,18,8,10,1,0,1,0,0,0,0,0,3,3,0,9,7,2,0,0,0.16,0,0.16,0,0.47,548,1.48,61,30,0,0,0,119,282,-1,8
Brad Smith,27,765849600,4/9/1994,Premier League,2016/2017,Defender,AFC Bournemouth,270,68,202,Australia,5,2,3,0,0,0,0,0,0,0,0,0,0,0,7,1,6,1,0,0,0,0,0,0,0,2.33,39,54,270,0,0.33,-1,-1,-1,20
Bradley Guzan,37,463536000,9/9/1984,Premier League,2016/2017,Goalkeeper,Middlesbrough,900,450,450,USA,10,5,5,0,0,0,0,0,0,0,0,3,2,1,17,6,11,0,0,0,0,0,0,0,0,1.7,53,90,0,0,0,267,260,144,16
Brandon Mason,24,875577600,9/30/1997,Premier League,2016/2017,Defender,Watford,112,112,0,England,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4.02,22,56,0,0,0,-1,-1,-1,21
Branislav Ivanović,37,446256000,2/22/1984,Premier League,2016/2017,Defender,Chelsea,582,298,284,Serbia,13,6,7,0,0,0,0,0,0,0,0,6,2,4,9,3,6,2,0,0,0,0,0,0,0,1.39,65,45,291,0,0.31,386,386,93,19
Brendan Galloway,25,827020800,3/17/1996,Premier League,2016/2017,Defender,West Bromwich Albion,248,158,90,England,3,2,1,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,1.09,83,83,0,0,0,-1,-1,-1,22
Bruno Martins Indi,29,697507200,2/8/1992,Premier League,2016/2017,Defender,Stoke City,3147,1617,1530,Netherlands,35,18,17,1,0,1,0,0,0,0,0,11,7,4,48,18,30,5,0,0.03,0,0.03,0,0.06,3147,1.37,66,90,629,0,0.14,254,301,91,8
Bryan Oviedo,31,635299200,2/18/1990,Premier League,2016/2017,Defender,Sunderland,1326,480,846,Costa Rica,16,6,10,0,0,0,0,0,0,0,0,3,2,1,22,7,15,4,0,0,0,0,0,0,0,1.49,60,83,332,0,0.27,332,336,112,9
Callum Wilson,29,699148800,2/27/1992,Premier League,2016/2017,Forward,AFC Bournemouth,1366,800,566,England,20,11,9,6,4,2,0,0,0,3,0,5,4,1,24,13,11,0,0,0.4,0,0.4,0.45,0.32,228,1.58,57,68,0,0,0,34,397,-1,3
Calum Chambers,26,790560000,1/20/1995,Premier League,2016/2017,Defender,Middlesbrough,2250,1260,990,England,25,14,11,2,2,0,1,1,0,0,0,7,6,1,35,17,18,4,0,0.12,0.04,0.08,0.14,0,1125,1.4,64,90,563,2250,0.16,181,218,94,5
Cameron Carter-Vickers,24,883526400,12/31/1997,Premier League,2016/2017,Defender,Tottenham Hotspur,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
